COL1,COL2,COL3,COL4
la,route,où,donnait
route,où,donnait,une
où,donnait,une,petite
donnait,une,petite,grille
une,petite,grille,et
petite,grille,et,qui
grille,et,qui,menait
et,qui,menait,vers
qui,menait,vers,la
menait,vers,la,gare
vers,la,gare,à
la,gare,à,trois
gare,à,trois,kilomètres
à,trois,kilomètres,au
trois,kilomètres,au,sud
kilomètres,au,sud,et
au,sud,et,par
sud,et,par,derrière
et,par,derrière,des
par,derrière,des,champs
derrière,des,champs,des
des,champs,des,jardins
champs,des,jardins,et
des,jardins,et,des
jardins,et,des,prés
et,des,prés,qui
des,prés,qui,rejoignaient
prés,qui,rejoignaient,les
qui,rejoignaient,les,faubourgs
rejoignaient,les,faubourgs,tel
les,faubourgs,tel,est
faubourgs,tel,est,le
tel,est,le,plan
est,le,plan,sommaire
le,plan,sommaire,de
plan,sommaire,de,cette
sommaire,de,cette,demeure
de,cette,demeure,où
cette,demeure,où,s
demeure,où,s,écoulèrent
où,s,écoulèrent,les
s,écoulèrent,les,jours
écoulèrent,les,jours,les
les,jours,les,plus
jours,les,plus,tourmentés
les,plus,tourmentés,et
plus,tourmentés,et,les
tourmentés,et,les,plus
et,les,plus,chers
les,plus,chers,de
plus,chers,de,ma
chers,de,ma,vie
de,ma,vie,demeure
ma,vie,demeure,d
vie,demeure,d,où
demeure,d,où,partirent
d,où,partirent,et
où,partirent,et,où
partirent,et,où,revinrent
et,où,revinrent,se
où,revinrent,se,briser
revinrent,se,briser,comme
se,briser,comme,des
briser,comme,des,vagues
comme,des,vagues,sur
des,vagues,sur,un
vagues,sur,un,rocher
sur,un,rocher,désert
un,rocher,désert,nos
rocher,désert,nos,aventures
désert,nos,aventures,le
nos,aventures,le,hasard
aventures,le,hasard,des
le,hasard,des,changements
hasard,des,changements,une
des,changements,une,décision
changements,une,décision,d
une,décision,d,inspecteur
décision,d,inspecteur,ou
d,inspecteur,ou,de
inspecteur,ou,de,préfet
ou,de,préfet,nous
de,préfet,nous,avaient
préfet,nous,avaient,conduits
nous,avaient,conduits,là
avaient,conduits,là,vers
conduits,là,vers,la
là,vers,la,fin
vers,la,fin,des
la,fin,des,vacances
fin,des,vacances,il
des,vacances,il,y
vacances,il,y,a
il,y,a,bien
y,a,bien,longtemps
a,bien,longtemps,une
bien,longtemps,une,voiture
longtemps,une,voiture,de
une,voiture,de,paysan
voiture,de,paysan,qui
de,paysan,qui,précédait
paysan,qui,précédait,notre
qui,précédait,notre,ménage
précédait,notre,ménage,nous
notre,ménage,nous,avait
ménage,nous,avait,déposés
nous,avait,déposés,ma
avait,déposés,ma,mère
déposés,ma,mère,et
ma,mère,et,moi
mère,et,moi,devant
et,moi,devant,la
moi,devant,la,petite
devant,la,petite,grille
la,petite,grille,rouillée
petite,grille,rouillée,des
grille,rouillée,des,gamins
rouillée,des,gamins,qui
des,gamins,qui,volaient
gamins,qui,volaient,des
qui,volaient,des,pêches
volaient,des,pêches,dans
des,pêches,dans,le
pêches,dans,le,jardin
dans,le,jardin,s
le,jardin,s,étaient
jardin,s,étaient,enfuis
s,étaient,enfuis,silencieusement
étaient,enfuis,silencieusement,par
enfuis,silencieusement,par,les
silencieusement,par,les,trous
par,les,trous,de
les,trous,de,la
trous,de,la,haie
de,la,haie,ma
la,haie,ma,mère
haie,ma,mère,que
ma,mère,que,nous
mère,que,nous,appelions
que,nous,appelions,millie
nous,appelions,millie,et
appelions,millie,et,qui
millie,et,qui,était
et,qui,était,bien
qui,était,bien,la
était,bien,la,ménagère
bien,la,ménagère,la
la,ménagère,la,plus
ménagère,la,plus,méthodique
la,plus,méthodique,que
plus,méthodique,que,j
méthodique,que,j,aie
que,j,aie,jamais
j,aie,jamais,connue
aie,jamais,connue,était
jamais,connue,était,entrée
connue,était,entrée,aussitôt
était,entrée,aussitôt,dans
entrée,aussitôt,dans,les
aussitôt,dans,les,pièces
dans,les,pièces,remplies
les,pièces,remplies,de
pièces,remplies,de,paille
remplies,de,paille,poussiéreuse
de,paille,poussiéreuse,et
paille,poussiéreuse,et,tout
poussiéreuse,et,tout,de
et,tout,de,suite
tout,de,suite,elle
de,suite,elle,avait
suite,elle,avait,constaté
elle,avait,constaté,avec
avait,constaté,avec,désespoir
constaté,avec,désespoir,comma
avec,désespoir,comma,à
désespoir,comma,à,chaque
comma,à,chaque,déplacement
à,chaque,déplacement,que
chaque,déplacement,que,nos
déplacement,que,nos,meubles
que,nos,meubles,ne
nos,meubles,ne,tiendraient
meubles,ne,tiendraient,jamais
ne,tiendraient,jamais,dans
tiendraient,jamais,dans,une
jamais,dans,une,maison
dans,une,maison,si
une,maison,si,mal
maison,si,mal,construite
si,mal,construite,elle
mal,construite,elle,était
construite,elle,était,sortie
elle,était,sortie,pour
était,sortie,pour,me
sortie,pour,me,confier
pour,me,confier,sa
me,confier,sa,détresse
confier,sa,détresse,tout
sa,détresse,tout,en
détresse,tout,en,me
tout,en,me,parlant
en,me,parlant,elle
me,parlant,elle,avait
parlant,elle,avait,essuyé
elle,avait,essuyé,doucement
avait,essuyé,doucement,avec
essuyé,doucement,avec,son
doucement,avec,son,mouchoir
avec,son,mouchoir,ma
son,mouchoir,ma,figure
mouchoir,ma,figure,d
ma,figure,d,enfant
figure,d,enfant,noircie
d,enfant,noircie,par
enfant,noircie,par,le
noircie,par,le,voyage
par,le,voyage,puis
le,voyage,puis,elle
voyage,puis,elle,était
puis,elle,était,rentrée
elle,était,rentrée,faire
était,rentrée,faire,le
rentrée,faire,le,compte
faire,le,compte,de
le,compte,de,toutes
compte,de,toutes,les
de,toutes,les,ouvertures
toutes,les,ouvertures,qu
les,ouvertures,qu,il
ouvertures,qu,il,allait
qu,il,allait,falloir
il,allait,falloir,condamner
allait,falloir,condamner,pour
falloir,condamner,pour,rendre
condamner,pour,rendre,le
pour,rendre,le,logement
rendre,le,logement,habitable
le,logement,habitable,quant
logement,habitable,quant,à
habitable,quant,à,moi
quant,à,moi,coiffé
à,moi,coiffé,d
moi,coiffé,d,un
coiffé,d,un,grand
d,un,grand,chapeau
un,grand,chapeau,de
grand,chapeau,de,paille
chapeau,de,paille,à
de,paille,à,rubans
paille,à,rubans,j
à,rubans,j,étais
rubans,j,étais,resté
j,étais,resté,là
étais,resté,là,sur
resté,là,sur,le
là,sur,le,gravier
sur,le,gravier,de
le,gravier,de,cette
gravier,de,cette,cour
de,cette,cour,étrangère
cette,cour,étrangère,à
cour,étrangère,à,attendre
étrangère,à,attendre,à
à,attendre,à,fureter
attendre,à,fureter,petitement
à,fureter,petitement,autour
fureter,petitement,autour,du
petitement,autour,du,puits
autour,du,puits,et
du,puits,et,sous
puits,et,sous,le
et,sous,le,hangar
sous,le,hangar,c
le,hangar,c,est
hangar,c,est,ainsi
c,est,ainsi,du
est,ainsi,du,moins
ainsi,du,moins,que
du,moins,que,j
moins,que,j,imagine
que,j,imagine,aujourd
j,imagine,aujourd,hui
imagine,aujourd,hui,notre
aujourd,hui,notre,arrivée
hui,notre,arrivée,car
notre,arrivée,car,aussitôt
arrivée,car,aussitôt,que
car,aussitôt,que,je
aussitôt,que,je,veux
que,je,veux,retrouver
je,veux,retrouver,le
veux,retrouver,le,lointain
retrouver,le,lointain,souvenir
le,lointain,souvenir,de
lointain,souvenir,de,cette
souvenir,de,cette,première
de,cette,première,soirée
cette,première,soirée,d
première,soirée,d,attente
soirée,d,attente,dans
d,attente,dans,notre
attente,dans,notre,cour
dans,notre,cour,de
notre,cour,de,sainte-agathe
cour,de,sainte-agathe,déjà
de,sainte-agathe,déjà,ce
sainte-agathe,déjà,ce,sont
déjà,ce,sont,d
ce,sont,d,autres
sont,d,autres,attentes
d,autres,attentes,que
autres,attentes,que,je
attentes,que,je,me
que,je,me,rappelle
je,me,rappelle,déjà
me,rappelle,déjà,les
rappelle,déjà,les,deux
déjà,les,deux,mains
les,deux,mains,appuyées
deux,mains,appuyées,aux
mains,appuyées,aux,barreaux
appuyées,aux,barreaux,du
aux,barreaux,du,portail
barreaux,du,portail,je
du,portail,je,me
portail,je,me,vois
je,me,vois,épiant
me,vois,épiant,avec
vois,épiant,avec,anxiété
épiant,avec,anxiété,quelqu
avec,anxiété,quelqu,un
anxiété,quelqu,un,qui
quelqu,un,qui,va
un,qui,va,descendre
qui,va,descendre,la
va,descendre,la,grand
descendre,la,grand,rue
la,grand,rue,et
grand,rue,et,si
rue,et,si,j
et,si,j,essaie
si,j,essaie,d
j,essaie,d,imaginer
essaie,d,imaginer,la
d,imaginer,la,première
imaginer,la,première,nuit
la,première,nuit,que
première,nuit,que,je
nuit,que,je,dus
que,je,dus,passer
je,dus,passer,dans
dus,passer,dans,ma
passer,dans,ma,mansarde
dans,ma,mansarde,au
ma,mansarde,au,milieu
mansarde,au,milieu,des
au,milieu,des,greniers
milieu,des,greniers,du
des,greniers,du,premier
greniers,du,premier,étage
du,premier,étage,déjà
premier,étage,déjà,ce
étage,déjà,ce,sont
déjà,ce,sont,d
ce,sont,d,autres
sont,d,autres,nuits
d,autres,nuits,que
autres,nuits,que,je
nuits,que,je,me
que,je,me,rappelle
je,me,rappelle,je
me,rappelle,je,ne
rappelle,je,ne,suis
je,ne,suis,plus
ne,suis,plus,seul
suis,plus,seul,dans
plus,seul,dans,cette
seul,dans,cette,chambre
dans,cette,chambre,une
cette,chambre,une,grande
chambre,une,grande,ombre
une,grande,ombre,inquiète
grande,ombre,inquiète,et
ombre,inquiète,et,amie
inquiète,et,amie,passe
et,amie,passe,le
amie,passe,le,long
passe,le,long,des
le,long,des,murs
long,des,murs,et
des,murs,et,se
murs,et,se,promène
et,se,promène,tout
se,promène,tout,ce
promène,tout,ce,paysage
tout,ce,paysage,paisible
ce,paysage,paisible,l
paysage,paisible,l,école
paisible,l,école,le
l,école,le,champ
école,le,champ,du
le,champ,du,père
champ,du,père,martin
du,père,martin,avec
père,martin,avec,ses
martin,avec,ses,trois
avec,ses,trois,noyers
ses,trois,noyers,le
trois,noyers,le,jardin
noyers,le,jardin,dès
le,jardin,dès,quatre
jardin,dès,quatre,heures
dès,quatre,heures,envahi
quatre,heures,envahi,chaque
heures,envahi,chaque,jour
envahi,chaque,jour,par
chaque,jour,par,des
jour,par,des,femmes
par,des,femmes,en
des,femmes,en,visite
femmes,en,visite,est
en,visite,est,à
visite,est,à,jamais
est,à,jamais,dans
à,jamais,dans,ma
jamais,dans,ma,mémoire
dans,ma,mémoire,agité
ma,mémoire,agité,transformé
mémoire,agité,transformé,par
agité,transformé,par,la
transformé,par,la,présence
par,la,présence,de
la,présence,de,celui
présence,de,celui,qui
de,celui,qui,bouleversa
celui,qui,bouleversa,toute
qui,bouleversa,toute,notre
bouleversa,toute,notre,adolescence
toute,notre,adolescence,et
notre,adolescence,et,dont
adolescence,et,dont,la
et,dont,la,fuite
dont,la,fuite,même
la,fuite,même,ne
fuite,même,ne,nous
même,ne,nous,a
ne,nous,a,pas
nous,a,pas,laissé
a,pas,laissé,de
pas,laissé,de,repos
laissé,de,repos,nous
de,repos,nous,étions
repos,nous,étions,pourtant
nous,étions,pourtant,depuis
étions,pourtant,depuis,dix
pourtant,depuis,dix,ans
depuis,dix,ans,dans
dix,ans,dans,ce
ans,dans,ce,pays
dans,ce,pays,lorsque
ce,pays,lorsque,meaulnes
pays,lorsque,meaulnes,arriva
lorsque,meaulnes,arriva,j
meaulnes,arriva,j,avais
arriva,j,avais,quinze
j,avais,quinze,ans
avais,quinze,ans,c
quinze,ans,c,était
ans,c,était,un
c,était,un,froid
était,un,froid,dimanche
un,froid,dimanche,de
froid,dimanche,de,novembre
dimanche,de,novembre,le
de,novembre,le,premier
novembre,le,premier,jour
le,premier,jour,d
premier,jour,d,automne
jour,d,automne,qui
d,automne,qui,fît
automne,qui,fît,songer
qui,fît,songer,à
fît,songer,à,l
songer,à,l,hiver
à,l,hiver,toute
l,hiver,toute,la
hiver,toute,la,journée
toute,la,journée,millie
la,journée,millie,avait
journée,millie,avait,attendu
millie,avait,attendu,une
avait,attendu,une,voiture
attendu,une,voiture,de
une,voiture,de,la
voiture,de,la,gare
de,la,gare,qui
la,gare,qui,devait
gare,qui,devait,lui
qui,devait,lui,apporter
devait,lui,apporter,un
lui,apporter,un,chapeau
apporter,un,chapeau,pour
un,chapeau,pour,la
chapeau,pour,la,mauvaise
pour,la,mauvaise,saison
la,mauvaise,saison,le
mauvaise,saison,le,matin
saison,le,matin,elle
le,matin,elle,avait
matin,elle,avait,manqué
elle,avait,manqué,la
avait,manqué,la,messe
manqué,la,messe,et
la,messe,et,jusqu
messe,et,jusqu,au
et,jusqu,au,sermon
jusqu,au,sermon,assis
au,sermon,assis,dans
sermon,assis,dans,le
assis,dans,le,choeur
dans,le,choeur,avec
le,choeur,avec,les
choeur,avec,les,autres
avec,les,autres,enfants
les,autres,enfants,j
autres,enfants,j,avais
enfants,j,avais,regardé
j,avais,regardé,anxieusement
avais,regardé,anxieusement,du
regardé,anxieusement,du,côté
anxieusement,du,côté,des
du,côté,des,cloches
côté,des,cloches,pour
des,cloches,pour,la
cloches,pour,la,voir
pour,la,voir,entrer
la,voir,entrer,avec
voir,entrer,avec,son
entrer,avec,son,chapeau
avec,son,chapeau,neuf
son,chapeau,neuf,après
chapeau,neuf,après,midi
neuf,après,midi,je
après,midi,je,dus
midi,je,dus,partir
je,dus,partir,seul
dus,partir,seul,à
partir,seul,à,vêpres
seul,à,vêpres,d
à,vêpres,d,ailleurs
vêpres,d,ailleurs,me
d,ailleurs,me,dit-elle
ailleurs,me,dit-elle,pour
me,dit-elle,pour,me
dit-elle,pour,me,consoler
pour,me,consoler,en
me,consoler,en,brossant
consoler,en,brossant,de
en,brossant,de,sa
brossant,de,sa,main
de,sa,main,mon
sa,main,mon,costume
main,mon,costume,d
mon,costume,d,enfant
costume,d,enfant,même
d,enfant,même,s
enfant,même,s,il
même,s,il,était
s,il,était,arrivé
il,était,arrivé,ce
était,arrivé,ce,chapeau
arrivé,ce,chapeau,il
ce,chapeau,il,aurait
chapeau,il,aurait,bien
il,aurait,bien,fallu
aurait,bien,fallu,sans
bien,fallu,sans,doute
fallu,sans,doute,que
sans,doute,que,je
doute,que,je,passe
que,je,passe,mon
je,passe,mon,dimanche
passe,mon,dimanche,à
mon,dimanche,à,le
dimanche,à,le,refaire
à,le,refaire,souvent
le,refaire,souvent,nos
refaire,souvent,nos,dimanches
souvent,nos,dimanches,d
nos,dimanches,d,hiver
dimanches,d,hiver,se
d,hiver,se,passaient
hiver,se,passaient,ainsi
se,passaient,ainsi,dès
passaient,ainsi,dès,le
ainsi,dès,le,matin
dès,le,matin,mon
le,matin,mon,père
matin,mon,père,s
mon,père,s,en
père,s,en,allait
s,en,allait,au
en,allait,au,loin
allait,au,loin,sur
au,loin,sur,le
loin,sur,le,bord
sur,le,bord,de
le,bord,de,quelque
bord,de,quelque,étang
de,quelque,étang,couvert
quelque,étang,couvert,de
étang,couvert,de,brume
couvert,de,brume,pêcher
de,brume,pêcher,le
brume,pêcher,le,brochet
pêcher,le,brochet,dans
le,brochet,dans,une
brochet,dans,une,barque
dans,une,barque,et
une,barque,et,ma
barque,et,ma,mère
et,ma,mère,retirée
ma,mère,retirée,jusqu
mère,retirée,jusqu,à
retirée,jusqu,à,la
jusqu,à,la,nuit
à,la,nuit,dans
la,nuit,dans,sa
nuit,dans,sa,chambre
dans,sa,chambre,obscure
sa,chambre,obscure,rafistolait
chambre,obscure,rafistolait,d
obscure,rafistolait,d,humbles
rafistolait,d,humbles,toilettes
d,humbles,toilettes,elle
humbles,toilettes,elle,s
toilettes,elle,s,enfermait
elle,s,enfermait,ainsi
s,enfermait,ainsi,de
enfermait,ainsi,de,crainte
ainsi,de,crainte,qu
de,crainte,qu,une
crainte,qu,une,dame
qu,une,dame,de
une,dame,de,ses
dame,de,ses,amies
de,ses,amies,aussi
ses,amies,aussi,pauvre
amies,aussi,pauvre,qu
aussi,pauvre,qu,elle
pauvre,qu,elle,mais
qu,elle,mais,aussi
elle,mais,aussi,fière
mais,aussi,fière,vînt
aussi,fière,vînt,la
fière,vînt,la,surprendre
vînt,la,surprendre,et
la,surprendre,et,moi
surprendre,et,moi,les
et,moi,les,vêpres
moi,les,vêpres,finies
les,vêpres,finies,j
vêpres,finies,j,attendais
finies,j,attendais,en
j,attendais,en,lisant
attendais,en,lisant,dans
en,lisant,dans,la
lisant,dans,la,froide
dans,la,froide,salle
la,froide,salle,à
froide,salle,à,manger
salle,à,manger,qu
à,manger,qu,elle
manger,qu,elle,ouvrît
qu,elle,ouvrît,la
elle,ouvrît,la,porte
ouvrît,la,porte,pour
la,porte,pour,me
porte,pour,me,montrer
pour,me,montrer,comment
me,montrer,comment,ça
montrer,comment,ça,lui
comment,ça,lui,allait
ça,lui,allait,ce
lui,allait,ce,dimanche-là
allait,ce,dimanche-là,quelque
ce,dimanche-là,quelque,animation
dimanche-là,quelque,animation,devant
quelque,animation,devant,l
animation,devant,l,église
devant,l,église,me
l,église,me,retint
église,me,retint,dehors
me,retint,dehors,après
retint,dehors,après,vêpres
dehors,après,vêpres,un
après,vêpres,un,baptême
vêpres,un,baptême,sous
un,baptême,sous,le
baptême,sous,le,porche
sous,le,porche,avait
le,porche,avait,attroupé
porche,avait,attroupé,des
avait,attroupé,des,gamins
attroupé,des,gamins,sur
des,gamins,sur,la
gamins,sur,la,place
sur,la,place,plusieurs
la,place,plusieurs,hommes
place,plusieurs,hommes,du
plusieurs,hommes,du,bourg
hommes,du,bourg,avaient
du,bourg,avaient,revêtu
bourg,avaient,revêtu,leurs
avaient,revêtu,leurs,vareuses
revêtu,leurs,vareuses,de
leurs,vareuses,de,pompiers
vareuses,de,pompiers,et
de,pompiers,et,les
pompiers,et,les,faisceaux
et,les,faisceaux,formés
les,faisceaux,formés,transis
faisceaux,formés,transis,et
formés,transis,et,battant
transis,et,battant,la
et,battant,la,semelle
battant,la,semelle,ils
la,semelle,ils,écoutaient
semelle,ils,écoutaient,boujardon
ils,écoutaient,boujardon,le
écoutaient,boujardon,le,brigadier
boujardon,le,brigadier,s
le,brigadier,s,embrouiller
brigadier,s,embrouiller,dans
s,embrouiller,dans,la
embrouiller,dans,la,théorie
dans,la,théorie,le
la,théorie,le,carillon
théorie,le,carillon,du
le,carillon,du,baptême
carillon,du,baptême,s
du,baptême,s,arrêta
baptême,s,arrêta,soudain
s,arrêta,soudain,comme
arrêta,soudain,comme,une
soudain,comme,une,sonnerie
comme,une,sonnerie,de
une,sonnerie,de,fête
sonnerie,de,fête,qui
de,fête,qui,se
fête,qui,se,serait
qui,se,serait,trompée
se,serait,trompée,de
serait,trompée,de,jour
trompée,de,jour,et
de,jour,et,d
jour,et,d,endroit
et,d,endroit,boujardon
d,endroit,boujardon,et
endroit,boujardon,et,ses
boujardon,et,ses,hommes
et,ses,hommes,l
ses,hommes,l,arme
hommes,l,arme,en
l,arme,en,bandoulière
arme,en,bandoulière,emmenèrent
en,bandoulière,emmenèrent,la
bandoulière,emmenèrent,la,pompe
emmenèrent,la,pompe,au
la,pompe,au,petit
pompe,au,petit,trot
au,petit,trot,et
petit,trot,et,je
trot,et,je,les
et,je,les,vis
je,les,vis,disparaître
les,vis,disparaître,au
vis,disparaître,au,premier
disparaître,au,premier,tournant
au,premier,tournant,suivis
premier,tournant,suivis,de
tournant,suivis,de,quatre
suivis,de,quatre,gamins
de,quatre,gamins,silencieux
quatre,gamins,silencieux,écrasant
gamins,silencieux,écrasant,de
silencieux,écrasant,de,leurs
écrasant,de,leurs,grosses
de,leurs,grosses,semelles
leurs,grosses,semelles,les
grosses,semelles,les,brindilles
semelles,les,brindilles,de
les,brindilles,de,la
brindilles,de,la,route
de,la,route,givrée
la,route,givrée,où
route,givrée,où,je
givrée,où,je,n
où,je,n,osais
je,n,osais,pas
n,osais,pas,les
osais,pas,les,suivre
pas,les,suivre,dans
les,suivre,dans,le
suivre,dans,le,bourg
dans,le,bourg,il
le,bourg,il,n
bourg,il,n,y
il,n,y,eut
n,y,eut,plus
y,eut,plus,alors
eut,plus,alors,de
plus,alors,de,vivant
alors,de,vivant,que
de,vivant,que,le
vivant,que,le,café
que,le,café,daniel
le,café,daniel,où
café,daniel,où,j
daniel,où,j,entendais
où,j,entendais,sourdement
j,entendais,sourdement,monter
entendais,sourdement,monter,puis
sourdement,monter,puis,s
monter,puis,s,apaiser
puis,s,apaiser,les
s,apaiser,les,discussions
apaiser,les,discussions,des
les,discussions,des,buveurs
discussions,des,buveurs,et
des,buveurs,et,frôlant
buveurs,et,frôlant,le
et,frôlant,le,mur
frôlant,le,mur,bas
le,mur,bas,de
mur,bas,de,la
bas,de,la,grande
de,la,grande,cour
la,grande,cour,qui
grande,cour,qui,isolait
cour,qui,isolait,notre
qui,isolait,notre,maison
isolait,notre,maison,du
notre,maison,du,village
maison,du,village,j
du,village,j,arrivai
village,j,arrivai,un
j,arrivai,un,peu
arrivai,un,peu,anxieux
un,peu,anxieux,de
peu,anxieux,de,mon
anxieux,de,mon,retard
de,mon,retard,à
mon,retard,à,la
retard,à,la,petite
à,la,petite,grille
la,petite,grille,elle
petite,grille,elle,était
grille,elle,était,entr
elle,était,entr,ouverte
était,entr,ouverte,et
entr,ouverte,et,je
ouverte,et,je,vis
et,je,vis,aussitôt
je,vis,aussitôt,qu
vis,aussitôt,qu,il
aussitôt,qu,il,se
qu,il,se,passait
il,se,passait,quelque
se,passait,quelque,chose
passait,quelque,chose,d
quelque,chose,d,insolite
chose,d,insolite,en
d,insolite,en,effet
insolite,en,effet,à
en,effet,à,la
effet,à,la,porte
à,la,porte,de
la,porte,de,la
porte,de,la,salle
de,la,salle,à
la,salle,à,manger
salle,à,manger,la
à,manger,la,plus
manger,la,plus,rapprochée
la,plus,rapprochée,des
plus,rapprochée,des,cinq
rapprochée,des,cinq,portes
des,cinq,portes,vitrées
cinq,portes,vitrées,qui
portes,vitrées,qui,donnaient
vitrées,qui,donnaient,sur
qui,donnaient,sur,la
donnaient,sur,la,cour
sur,la,cour,une
la,cour,une,femme
cour,une,femme,aux
une,femme,aux,cheveux
femme,aux,cheveux,gris
aux,cheveux,gris,penchée
cheveux,gris,penchée,cherchait
gris,penchée,cherchait,à
penchée,cherchait,à,voir
cherchait,à,voir,au
à,voir,au,travers
voir,au,travers,des
au,travers,des,rideaux
travers,des,rideaux,elle
des,rideaux,elle,était
rideaux,elle,était,petite
elle,était,petite,coiffée
était,petite,coiffée,d
petite,coiffée,d,une
coiffée,d,une,capote
d,une,capote,de
une,capote,de,velours
capote,de,velours,noir
de,velours,noir,à
velours,noir,à,l
noir,à,l,ancienne
à,l,ancienne,mode
l,ancienne,mode,elle
ancienne,mode,elle,avait
mode,elle,avait,un
elle,avait,un,visage
avait,un,visage,maigre
un,visage,maigre,et
visage,maigre,et,fin
maigre,et,fin,mais
et,fin,mais,ravagé
fin,mais,ravagé,par
mais,ravagé,par,l
ravagé,par,l,inquiétude
par,l,inquiétude,et
l,inquiétude,et,je
inquiétude,et,je,ne
et,je,ne,sais
je,ne,sais,quelle
ne,sais,quelle,appréhension
sais,quelle,appréhension,à
quelle,appréhension,à,sa
appréhension,à,sa,vue
à,sa,vue,m
sa,vue,m,arrêta
vue,m,arrêta,sur
m,arrêta,sur,la
arrêta,sur,la,première
sur,la,première,marche
la,première,marche,devant
première,marche,devant,la
marche,devant,la,grille
devant,la,grille,où
la,grille,où,est-il
grille,où,est-il,passé
où,est-il,passé,mon
est-il,passé,mon,dieu
passé,mon,dieu,disait-elle
mon,dieu,disait-elle,à
dieu,disait-elle,à,mi-voix
disait-elle,à,mi-voix,il
à,mi-voix,il,était
mi-voix,il,était,avec
il,était,avec,moi
était,avec,moi,tout
avec,moi,tout,à
moi,tout,à,l
tout,à,l,heure
à,l,heure,il
l,heure,il,a
heure,il,a,déjà
il,a,déjà,fait
a,déjà,fait,le
déjà,fait,le,tour
fait,le,tour,de
le,tour,de,la
tour,de,la,maison
de,la,maison,il
la,maison,il,s
maison,il,s,est
il,s,est,peut-être
s,est,peut-être,sauvé
est,peut-être,sauvé,et
peut-être,sauvé,et,entre
sauvé,et,entre,chaque
et,entre,chaque,phrase
entre,chaque,phrase,elle
chaque,phrase,elle,frappait
phrase,elle,frappait,au
elle,frappait,au,carreau
frappait,au,carreau,trois
au,carreau,trois,petits
carreau,trois,petits,coups
trois,petits,coups,à
petits,coups,à,peine
coups,à,peine,perceptibles
à,peine,perceptibles,personne
peine,perceptibles,personne,ne
perceptibles,personne,ne,venait
personne,ne,venait,ouvrir
ne,venait,ouvrir,à
venait,ouvrir,à,la
ouvrir,à,la,visiteuse
à,la,visiteuse,inconnue
la,visiteuse,inconnue,millie
visiteuse,inconnue,millie,sans
inconnue,millie,sans,doute
millie,sans,doute,avait
